SiteId,SiteName,SiteUrl,PageUrl,PageTitle,Depth,InternalLinksDiscovered,EmbedCount,CrawlStatus
1cNxDDhIHOHFY-MhxfbZnKvDvq1j5O94q,Untitled Site,https://sites.google.com/d/1cNxDDhIHOHFY-MhxfbZnKvDvq1j5O94q/edit,https://sites.google.com/d/1cNxDDhIHOHFY-MhxfbZnKvDvq1j5O94q/edit,Google Drive: Sign-in,0,0,1,Success
1QGyEQRnnP3RxSPTwf9Zz3WuLXm546dQe,testone — Converted from Classic Sites,https://sites.google.com/d/1QGyEQRnnP3RxSPTwf9Zz3WuLXm546dQe/edit,https://sites.google.com/d/1QGyEQRnnP3RxSPTwf9Zz3WuLXm546dQe/edit,Google Drive: Sign-in,0,0,1,Success
1bFQEeicgkKYZBnKtESQrmty0aH8AKEjB,Roche Template,https://sites.google.com/d/1bFQEeicgkKYZBnKtESQrmty0aH8AKEjB/edit,https://sites.google.com/d/1bFQEeicgkKYZBnKtESQrmty0aH8AKEjB/edit,Google Drive: Sign-in,0,0,1,Success
1wWZ-bZMXIkZNIjdrLxB95D8DO6glKMRy,test_new_site1,https://sites.google.com/d/1wWZ-bZMXIkZNIjdrLxB95D8DO6glKMRy/edit,https://sites.google.com/d/1wWZ-bZMXIkZNIjdrLxB95D8DO6glKMRy/edit,Google Drive: Sign-in,0,0,1,Success
1nW0vcqy5JppqzgmmYBFpP2OzkHcw13tk,Untitled site,https://sites.google.com/d/1nW0vcqy5JppqzgmmYBFpP2OzkHcw13tk/edit,https://sites.google.com/d/1nW0vcqy5JppqzgmmYBFpP2OzkHcw13tk/edit,Google Drive: Sign-in,0,0,1,Success
1Jkr8wc6WJy_el_5SCEBacvEsw0Ahk1__,1a2s3d4f5g,https://sites.google.com/d/1Jkr8wc6WJy_el_5SCEBacvEsw0Ahk1__/edit,https://sites.google.com/d/1Jkr8wc6WJy_el_5SCEBacvEsw0Ahk1__/edit,Google Drive: Sign-in,0,0,1,Success
1qbTKoA-Ic3DcS7vQBHLRRzPi10cvZ0z9,Project,https://sites.google.com/d/1qbTKoA-Ic3DcS7vQBHLRRzPi10cvZ0z9/edit,https://sites.google.com/d/1qbTKoA-Ic3DcS7vQBHLRRzPi10cvZ0z9/edit,Google Drive: Sign-in,0,0,1,Success
1vqMWMhQNBQjcv0TJwxEvS-AM0rPIcCyd,test_site_Leno,https://sites.google.com/d/1vqMWMhQNBQjcv0TJwxEvS-AM0rPIcCyd/edit,https://sites.google.com/d/1vqMWMhQNBQjcv0TJwxEvS-AM0rPIcCyd/edit,Google Drive: Sign-in,0,0,1,Success
16p5UjAv-C9tFe3-clyX1eTrySajkY6s2,Untitled site,https://sites.google.com/d/16p5UjAv-C9tFe3-clyX1eTrySajkY6s2/edit,https://sites.google.com/d/16p5UjAv-C9tFe3-clyX1eTrySajkY6s2/edit,Google Drive: Sign-in,0,0,1,Success
1u4RSDypFBsYS-8SRXF9J7HideBFyoWz3,test 1000,https://sites.google.com/d/1u4RSDypFBsYS-8SRXF9J7HideBFyoWz3/edit,https://sites.google.com/d/1u4RSDypFBsYS-8SRXF9J7HideBFyoWz3/edit,Google Drive: Sign-in,0,0,1,Success
