"SiteId","SiteName","SiteUrl","PageCount","MaxDepth","ErrorPages","EmbedCount","PagesWithEmbeds","ExternalDomainCount","PermissionRows","PublicPermissionRows","DomainPermissionRows","GroupPermissionRows","UserPermissionRows","ExternalPrincipalRows","StructurePoints","EmbedPoints","SecurityPoints","TotalScore","Rating","Recommendation"
"1-WtDvj7KNeMxof8GosyG474Fh-UAfqCM","Untitled site","https://sites.google.com/d/1-WtDvj7KNeMxof8GosyG474Fh-UAfqCM/edit","1","0","0","1","1","4","1","0","0","0","1","0","1","11","0","12","Low","Direct migration candidate"
"1hL8WE4M3TZCkPs5RfhxA4BOGR6m_oIV_","iKnow Informatics SNow SPM","https://sites.google.com/d/1hL8WE4M3TZCkPs5RfhxA4BOGR6m_oIV_/edit","1","0","0","1","1","4","7","0","1","0","6","5","1","11","10","22","Low","Direct migration candidate"
"1gn3SGnMIlsE6TY9tNY4lCUjVTd7r6wFu","Transparency Goal  — Converted from Classic Sites","https://sites.google.com/d/1gn3SGnMIlsE6TY9tNY4lCUjVTd7r6wFu/edit","1","0","0","1","1","4","1","0","0","0","1","1","1","11","2","14","Low","Direct migration candidate"
"1sCgVauOUfel_qle6LmfAWjQBdFV5yTAy","Help Center","https://sites.google.com/d/1sCgVauOUfel_qle6LmfAWjQBdFV5yTAy/edit","1","0","0","1","1","4","2","0","0","0","2","2","1","11","4","16","Low","Direct migration candidate"
"1uLdz58_-km-DtaiLkPJv02iDPIpXATyA","TM Priorities & Operating Model","https://sites.google.com/d/1uLdz58_-km-DtaiLkPJv02iDPIpXATyA/edit","1","0","0","1","1","4","3","0","0","0","3","3","1","11","6","18","Low","Direct migration candidate"
"11LxujM24rZJoDdXG1aGX75_YNEAqcNyF","Help Center","https://sites.google.com/d/11LxujM24rZJoDdXG1aGX75_YNEAqcNyF/edit","1","0","0","1","1","4","2","0","1","0","1","2","1","11","5","17","Low","Direct migration candidate"
"15fH-GTDEXVzVyBLiSvw4RbbARMsJhcvM","Portal","https://sites.google.com/d/15fH-GTDEXVzVyBLiSvw4RbbARMsJhcvM/edit","1","0","0","1","1","4","2","0","1","0","1","2","1","11","5","17","Low","Direct migration candidate"
"1Qn7gRFq-UkjUyuTgp7fwxH_ywVDGhpwt","Portal","https://sites.google.com/d/1Qn7gRFq-UkjUyuTgp7fwxH_ywVDGhpwt/edit","1","0","0","1","1","4","2","0","1","0","1","2","1","11","5","17","Low","Direct migration candidate"
"1NkaWu140IrXetGCokRQAwhaLq4tDDozC","Copy of TMRF","https://sites.google.com/d/1NkaWu140IrXetGCokRQAwhaLq4tDDozC/edit","1","0","0","1","1","4","1","0","0","0","1","1","1","11","2","14","Low","Direct migration candidate"
"1pgQOSJ-hcgCINcN1tFZ3SuvD5iJQQLy0","Portal","https://sites.google.com/d/1pgQOSJ-hcgCINcN1tFZ3SuvD5iJQQLy0/edit","1","0","0","1","1","4","1","0","0","0","1","1","1","11","2","14","Low","Direct migration candidate"
"1Vq_0wfLQdSAfXCK0LT_YLiz7gZZ_MHYp","Portal","https://sites.google.com/d/1Vq_0wfLQdSAfXCK0LT_YLiz7gZZ_MHYp/edit","1","0","0","1","1","4","1","0","0","0","1","1","1","11","2","14","Low","Direct migration candidate"
"1cggVlJK-g90G3glnkaLbCSWErbdKcyQi","OMNI Biomarker Development","https://sites.google.com/d/1cggVlJK-g90G3glnkaLbCSWErbdKcyQi/edit","1","0","0","1","1","4","6","0","0","0","6","6","1","11","10","22","Low","Direct migration candidate"
"1p0ZZFf5-xu2Kzo6WWh92PZ6CjD7qwcUK","CNCPractice — Converted from Classic Sites","https://sites.google.com/d/1p0ZZFf5-xu2Kzo6WWh92PZ6CjD7qwcUK/edit","1","0","0","1","1","4","1","0","0","0","1","1","1","11","2","14","Low","Direct migration candidate"
"1njlEzDgW6Lq6Diyc03pkZe4Ryh1JylqW","PKPD OPS (P2O) — Converted from Classic Sites","https://sites.google.com/d/1njlEzDgW6Lq6Diyc03pkZe4Ryh1JylqW/edit","1","0","0","1","1","4","1","0","0","0","1","1","1","11","2","14","Low","Direct migration candidate"
