"SpaceID","SpaceName","SpaceType","MemberCount","SpaceUri","TotalAttachmentCount","Drive_AttachCount","Uploaded_AttachCount","InlineImage_Count","AnimatedGif_Count","TotalBytes","TotalSizeMB","Drive_TotalBytes","Drive_TotalMB","Uploaded_TotalBytes","Uploaded_TotalMB","LargeAttachments_Count","Largest_AttachName","Largest_Bytes","Largest_SizeMB","Largest_Source","Largest_MessageID"
"spaces/AAQAHPl2EPQ","space_for_testing","SPACE","2","https://chat.google.com/room/AAQAHPl2EPQ?cls=11","2","1","1","0","0","0","0","0","0","0","0","0","ROCHE_BRAND_BASICS.pdf","0","0","UPLOADED_CONTENT","spaces/AAQAHPl2EPQ/messages/1tTmeNRrczc.1tTmeNRrczc"
"spaces/ocjmxSAAAAE","spaces/ocjmxSAAAAE","DIRECT_MESSAGE","2","https://chat.google.com/dm/ocjmxSAAAAE?cls=11","2","1","1","0","0","0","0","0","0","0","0","0","rochepoc.com - Resources","0","0","DRIVE_FILE","spaces/ocjmxSAAAAE/messages/_85sohkOcUI._85sohkOcUI"
